"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
1,1,0.0023,0.0003,100.0,518.67,643.02,1585.29,1398.21,14.62,21.61,553.90,2388.04,9050.17,1.30,47.20,521.72,2388.03,8125.55,8.4052,0.03,392,2388,100.00,38.86,23.3735
1,2,-0.0027,-0.0003,100.0,518.67,641.71,1588.45,1395.42,14.62,21.61,554.85,2388.01,9054.42,1.30,47.50,522.16,2388.06,8139.62,8.3803,0.03,393,2388,100.00,39.02,23.3916
1,3,0.0003,0.0001,100.0,518.67,642.46,1586.94,1401.34,14.62,21.61,554.11,2388.05,9056.96,1.30,47.50,521.97,2388.03,8130.10,8.4441,0.03,393,2388,100.00,39.08,23.4166
1,4,0.0042,0.0000,100.0,518.67,642.44,1584.12,1406.42,14.62,21.61,554.07,2388.03,9045.29,1.30,47.28,521.38,2388.05,8132.90,8.3917,0.03,391,2388,100.00,39.00,23.3737
1,5,0.0014,0.0000,100.0,518.67,642.51,1587.19,1401.92,14.62,21.61,554.16,2388.01,9044.55,1.30,47.31,522.15,2388.03,8129.54,8.4031,0.03,390,2388,100.00,38.99,23.4130
1,6,0.0012,0.0003,100.0,518.67,642.11,1579.12,1395.13,14.62,21.61,554.22,2388.00,9050.96,1.30,47.26,521.92,2388.08,8127.46,8.4238,0.03,392,2388,100.00,38.91,23.3467
1,7,-0.0000,0.0002,100.0,518.67,642.11,1583.34,1404.84,14.62,21.61,553.89,2388.05,9051.39,1.30,47.31,522.01,2388.06,8134.97,8.3914,0.03,391,2388,100.00,38.85,23.3952
1,8,0.0006,-0.0000,100.0,518.67,642.54,1580.89,1400.89,14.62,21.61,553.59,2388.05,9052.86,1.30,47.21,522.09,2388.06,8125.93,8.4213,0.03,393,2388,100.00,39.05,23.3224
1,9,-0.0036,0.0000,100.0,518.67,641.88,1593.29,1412.28,14.62,21.61,554.49,2388.06,9048.55,1.30,47.37,522.03,2388.05,8134.15,8.4353,0.03,391,2388,100.00,39.10,23.4521
1,10,-0.0025,-0.0001,100.0,518.67,642.07,1585.25,1398.64,14.62,21.61,554.28,2388.04,9051.95,1.30,47.14,522.00,2388.06,8134.08,8.4093,0.03,391,2388,100.00,38.87,23.3820
1,11,0.0007,-0.0004,100.0,518.67,642.04,1581.03,1403.83,14.62,21.61,554.69,2388.04,9051.67,1.30,47.23,521.95,2388.06,8132.38,8.3919,0.03,391,2388,100.00,39.06,23.3609
1,12,0.0026,0.0003,100.0,518.67,642.54,1587.43,1397.82,14.62,21.61,554.35,2388.02,9050.02,1.30,47.27,522.01,2388.06,8132.33,8.3984,0.03,391,2388,100.00,39.11,23.3845
1,13,-0.0056,0.0003,100.0,518.67,641.94,1589.09,1403.94,14.62,21.61,554.04,2388.02,9045.67,1.30,47.35,522.37,2388.03,8131.12,8.4166,0.03,392,2388,100.00,39.08,23.3677
1,14,0.0017,-0.0004,100.0,518.67,642.23,1583.16,1402.88,14.62,21.61,554.66,2388.03,9045.30,1.30,47.24,521.95,2388.06,8130.30,8.4293,0.03,392,2388,100.00,39.03,23.4572
1,15,-0.0003,-0.0003,100.0,518.67,642.50,1584.81,1398.79,14.62,21.61,554.15,2388.00,9052.59,1.30,47.35,521.38,2388.00,8133.62,8.4163,0.03,392,2388,100.00,39.04,23.3672
1,16,-0.0018,0.0003,100.0,518.67,642.32,1584.51,1407.76,14.62,21.61,553.82,2388.10,9041.94,1.30,47.39,522.16,2388.10,8133.83,8.4300,0.03,390,2388,100.00,38.87,23.3484
1,17,0.0014,0.0002,100.0,518.67,642.19,1582.70,1404.12,14.62,21.61,554.42,2388.06,9045.85,1.30,47.27,522.09,2388.02,8126.78,8.4577,0.03,391,2388,100.00,39.09,23.3409
1,18,0.0035,0.0001,100.0,518.67,642.59,1586.53,1403.69,14.62,21.61,553.50,2388.04,9048.12,1.30,47.44,522.14,2388.06,8133.22,8.4323,0.03,391,2388,100.00,38.96,23.4481
1,19,0.0029,0.0001,100.0,518.67,642.43,1585.58,1402.30,14.62,21.61,553.87,2388.01,9046.90,1.30,47.25,522.06,2388.01,8129.31,8.3892,0.03,391,2388,100.00,39.06,23.3809
1,20,0.0011,-0.0001,100.0,518.67,642.61,1587.78,1400.70,14.62,21.61,554.31,2388.05,9041.12,1.30,47.46,522.28,2388.05,8128.59,8.4099,0.03,392,2388,100.00,39.00,23.3325
1,21,0.0038,-0.0002,100.0,518.67,642.70,1583.30,1399.20,14.62,21.61,554.42,2388.05,9053.73,1.30,47.36,522.05,2388.11,8126.86,8.4174,0.03,392,2388,100.00,38.96,23.4025
1,22,0.0012,0.0001,100.0,518.67,642.45,1582.78,1404.06,14.62,21.61,553.43,2388.00,9046.45,1.30,47.26,521.41,2388.04,8128.89,8.4557,0.03,392,2388,100.00,38.94,23.3770
1,23,0.0009,-0.0000,100.0,518.67,642.12,1587.51,1395.09,14.62,21.61,555.07,2388.04,9052.06,1.30,47.19,522.00,2388.06,8130.97,8.4116,0.03,393,2388,100.00,39.10,23.3186
1,24,-0.0006,-0.0001,100.0,518.67,642.32,1594.29,1400.15,14.62,21.61,553.27,2388.07,9043.32,1.30,47.29,522.06,2388.12,8130.70,8.4074,0.03,393,2388,100.00,38.94,23.3971
1,25,0.0028,-0.0003,100.0,518.67,642.25,1582.43,1400.23,14.62,21.61,553.76,2388.11,9043.80,1.30,47.37,522.26,2388.08,8128.65,8.4007,0.03,393,2388,100.00,38.96,23.3785
1,26,0.0047,-0.0005,100.0,518.67,642.48,1583.28,1408.07,14.62,21.61,554.59,2388.08,9053.43,1.30,47.33,521.95,2388.07,8129.12,8.3949,0.03,391,2388,100.00,38.77,23.3557
1,27,-0.0007,0.0001,100.0,518.67,642.08,1586.65,1400.31,14.62,21.61,554.35,2388.09,9046.10,1.30,47.34,521.82,2388.02,8127.24,8.4494,0.03,392,2388,100.00,38.87,23.3931
1,28,0.0022,0.0005,100.0,518.67,641.93,1594.25,1401.29,14.62,21.61,553.56,2388.07,9055.56,1.30,47.05,521.84,2388.07,8134.89,8.4470,0.03,392,2388,100.00,38.83,23.3502
1,29,0.0014,0.0001,100.0,518.67,641.95,1587.15,1398.11,14.62,21.61,554.15,2388.08,9046.11,1.30,47.42,522.39,2388.07,8133.13,8.4212,0.03,392,2388,100.00,39.02,23.3621
1,30,-0.0025,0.0004,100.0,518.67,642.79,1585.72,1400.97,14.62,21.61,554.10,2388.09,9047.45,1.30,47.40,521.78,2388.10,8134.79,8.4110,0.03,391,2388,100.00,39.09,23.4069
1,31,-0.0006,0.0004,100.0,518.67,642.58,1581.22,1398.91,14.62,21.61,554.42,2388.08,9056.40,1.30,47.23,521.79,2388.06,8130.11,8.4024,0.03,393,2388,100.00,38.81,23.3552
1,1,-0.0009,0.0004,100.0,518.67,642.66,1589.30,1407.16,14.62,21.61,553.14,2388.10,9040.20,1.30,47.43,521.62,2388.14,8129.59,8.4283,0.03,392,2388,100.00,39.00,23.3923
1,2,-0.0011,0.0002,100.0,518.67,642.51,1588.43,1405.47,14.62,21.61,553.53,2388.07,9053.77,1.30,47.45,522.02,2388.08,8120.05,8.4414,0.03,393,2388,100.00,38.84,23.2902
1,3,0.0002,0.0003,100.0,518.67,642.58,1595.60,1410.86,14.62,21.61,553.34,2388.13,9036.57,1.30,47.45,521.29,2388.08,8126.75,8.3804,0.03,394,2388,100.00,39.02,23.4064
1,4,0.0025,0.0001,100.0,518.67,642.31,1583.43,1408.23,14.62,21.61,554.15,2388.14,9047.06,1.30,47.42,521.57,2388.06,8129.91,8.4342,0.03,393,2388,100.00,38.82,23.4699
1,5,0.0004,-0.0004,100.0,518.67,642.77,1585.03,1407.60,14.62,21.61,553.98,2388.13,9043.96,1.30,47.47,521.59,2388.11,8127.01,8.4247,0.03,392,2388,100.00,38.81,23.3895
1,6,-0.0008,-0.0003,100.0,518.67,642.50,1579.87,1402.27,14.62,21.61,553.79,2388.11,9042.51,1.30,47.60,521.80,2388.06,8128.82,8.4182,0.03,392,2388,100.00,38.78,23.2688
1,7,0.0019,0.0000,100.0,518.67,642.63,1594.28,1405.38,14.62,21.61,553.56,2388.14,9050.22,1.30,47.52,520.97,2388.07,8127.07,8.4113,0.03,393,2388,100.00,38.75,23.5222
1,8,0.0015,0.0003,100.0,518.67,642.61,1583.23,1404.58,14.62,21.61,553.16,2388.07,9050.66,1.30,47.41,521.72,2388.15,8134.66,8.4430,0.03,391,2388,100.00,38.79,23.2240
1,9,-0.0022,0.0003,100.0,518.67,642.28,1588.74,1407.54,14.62,21.61,553.25,2388.09,9051.36,1.30,47.47,521.48,2388.08,8131.51,8.4459,0.03,392,2388,100.00,38.71,23.2730
1,10,0.0021,0.0004,100.0,518.67,642.53,1590.87,1406.04,14.62,21.61,553.45,2388.12,9053.96,1.30,47.47,521.09,2388.10,8123.71,8.4211,0.03,392,2388,100.00,38.92,23.3399
1,11,-0.0010,0.0000,100.0,518.67,642.57,1594.61,1407.53,14.62,21.61,553.65,2388.08,9044.28,1.30,47.37,521.25,2388.12,8124.59,8.3784,0.03,392,2388,100.00,38.81,23.3423
1,12,0.0022,-0.0001,100.0,518.67,642.70,1599.04,1412.05,14.62,21.61,553.66,2388.12,9051.27,1.30,47.64,521.43,2388.08,8130.06,8.3877,0.03,392,2388,100.00,38.79,23.2849
1,13,0.0034,0.0001,100.0,518.67,642.35,1583.94,1402.56,14.62,21.61,553.64,2388.13,9044.51,1.30,47.39,521.30,2388.10,8128.62,8.4313,0.03,393,2388,100.00,38.90,23.3169
1,14,-0.0013,0.0000,100.0,518.67,642.46,1589.62,1402.63,14.62,21.61,552.55,2388.17,9047.88,1.30,47.53,522.15,2388.04,8127.22,8.4346,0.03,393,2388,100.00,38.93,23.3479
1,15,-0.0009,0.0000,100.0,518.67,642.33,1582.15,1398.72,14.62,21.61,553.47,2388.10,9042.90,1.30,47.65,521.55,2388.15,8124.90,8.4290,0.03,394,2388,100.00,38.87,23.3930
1,16,0.0018,-0.0002,100.0,518.67,642.54,1588.49,1401.46,14.62,21.61,554.01,2388.15,9046.42,1.30,47.32,521.59,2388.12,8128.06,8.4817,0.03,393,2388,100.00,38.86,23.3610
1,17,-0.0012,0.0005,100.0,518.67,641.91,1583.24,1408.27,14.62,21.61,554.54,2388.05,9047.39,1.30,47.53,521.39,2388.07,8132.92,8.4357,0.03,392,2388,100.00,38.71,23.2601
1,18,0.0005,0.0001,100.0,518.67,642.45,1596.19,1403.20,14.62,21.61,553.64,2388.12,9049.76,1.30,47.30,521.52,2388.09,8127.02,8.4451,0.03,392,2388,100.00,38.83,23.2268
1,19,0.0005,-0.0000,100.0,518.67,642.37,1595.07,1405.63,14.62,21.61,553.73,2388.14,9041.39,1.30,47.40,521.87,2388.08,8130.19,8.4992,0.03,392,2388,100.00,38.77,23.3142
1,20,0.0039,0.0004,100.0,518.67,642.72,1589.15,1400.69,14.62,21.61,553.51,2388.12,9048.61,1.30,47.55,521.43,2388.15,8129.88,8.4578,0.03,393,2388,100.00,38.77,23.2495
1,21,-0.0038,-0.0003,100.0,518.67,642.32,1590.72,1402.40,14.62,21.61,553.30,2388.08,9047.49,1.30,47.62,521.44,2388.12,8134.08,8.4513,0.03,394,2388,100.00,38.89,23.3836
1,22,0.0005,0.0003,100.0,518.67,642.44,1585.48,1412.69,14.62,21.61,554.22,2388.05,9052.75,1.30,47.54,522.09,2388.09,8126.33,8.4271,0.03,393,2388,100.00,38.88,23.2475
1,23,-0.0003,0.0003,100.0,518.67,642.69,1591.13,1407.82,14.62,21.61,553.75,2388.15,9048.31,1.30,47.33,522.12,2388.11,8126.07,8.4435,0.03,393,2388,100.00,39.01,23.3193
1,24,0.0010,-0.0004,100.0,518.67,643.17,1590.83,1408.84,14.62,21.61,553.43,2388.10,9054.48,1.30,47.45,521.66,2388.11,8137.07,8.4307,0.03,392,2388,100.00,39.03,23.2738
1,25,0.0014,-0.0004,100.0,518.67,643.33,1590.17,1404.70,14.62,21.61,553.24,2388.04,9052.54,1.30,47.52,521.62,2388.12,8133.08,8.4306,0.03,392,2388,100.00,38.86,23.3787
1,26,0.0012,0.0001,100.0,518.67,642.51,1587.04,1408.29,14.62,21.61,552.70,2388.16,9054.46,1.30,47.46,520.62,2388.10,8129.67,8.4081,0.03,392,2388,100.00,38.93,23.2403
1,27,-0.0009,0.0004,100.0,518.67,642.54,1596.98,1408.70,14.62,21.61,553.30,2388.16,9052.56,1.30,47.53,521.63,2388.11,8127.87,8.4669,0.03,393,2388,100.00,38.82,23.2959
1,28,-0.0008,-0.0000,100.0,518.67,642.16,1592.33,1404.59,14.62,21.61,553.75,2388.12,9044.30,1.30,47.47,521.19,2388.08,8129.68,8.4276,0.03,393,2388,100.00,38.76,23.3570
1,29,-0.0015,-0.0004,100.0,518.67,642.43,1581.85,1401.94,14.62,21.61,553.82,2388.10,9048.68,1.30,47.37,521.15,2388.12,8124.70,8.4347,0.03,394,2388,100.00,39.00,23.3035
1,30,0.0015,0.0004,100.0,518.67,642.75,1583.78,1409.97,14.62,21.61,553.58,2388.12,9043.57,1.30,47.49,521.74,2388.11,8132.58,8.4629,0.03,393,2388,100.00,38.93,23.3048
1,31,0.0003,0.0002,100.0,518.67,642.77,1591.32,1402.47,14.62,21.61,553.46,2388.11,9045.86,1.30,47.53,521.41,2388.13,8129.54,8.4312,0.03,394,2388,100.00,38.74,23.3065
1,32,0.0032,0.0002,100.0,518.67,642.78,1594.31,1416.93,14.62,21.61,553.78,2388.16,9055.90,1.30,47.51,521.48,2388.11,8129.92,8.4061,0.03,394,2388,100.00,38.74,23.3139
1,33,-0.0006,-0.0003,100.0,518.67,642.53,1592.58,1405.06,14.62,21.61,553.85,2388.09,9048.95,1.30,47.49,521.41,2388.06,8127.13,8.4163,0.03,395,2388,100.00,39.02,23.3074
1,34,-0.0033,0.0001,100.0,518.67,642.43,1582.25,1409.15,14.62,21.61,554.02,2388.13,9048.31,1.30,47.54,521.87,2388.09,8126.81,8.4476,0.03,392,2388,100.00,38.97,23.2535
1,35,-0.0033,-0.0001,100.0,518.67,642.89,1597.36,1402.02,14.62,21.61,553.64,2388.09,9048.35,1.30,47.42,521.99,2388.14,8124.10,8.4593,0.03,393,2388,100.00,38.87,23.3074
1,36,-0.0017,0.0001,100.0,518.67,642.23,1584.89,1407.87,14.62,21.61,553.22,2388.12,9050.91,1.30,47.48,521.46,2388.12,8131.65,8.4211,0.03,393,2388,100.00,38.84,23.2243
1,37,0.0004,-0.0001,100.0,518.67,643.20,1581.90,1404.83,14.62,21.61,553.61,2388.11,9047.66,1.30,47.19,521.74,2388.16,8135.15,8.4178,0.03,393,2388,100.00,39.02,23.2880
1,38,-0.0029,-0.0001,100.0,518.67,642.62,1588.47,1401.81,14.62,21.61,553.29,2388.10,9048.89,1.30,47.50,521.35,2388.12,8127.19,8.4541,0.03,393,2388,100.00,38.81,23.3641
1,39,0.0002,0.0004,100.0,518.67,642.98,1591.62,1405.46,14.62,21.61,553.49,2388.10,9049.71,1.30,47.58,521.75,2388.13,8128.53,8.4363,0.03,394,2388,100.00,38.67,23.3072
1,40,0.0023,0.0003,100.0,518.67,642.65,1590.33,1407.82,14.62,21.61,553.68,2388.16,9051.07,1.30,47.47,521.91,2388.12,8127.59,8.4190,0.03,393,2388,100.00,38.74,23.3693
1,41,-0.0001,-0.0002,100.0,518.67,642.78,1595.98,1405.79,14.62,21.61,553.44,2388.08,9042.03,1.30,47.44,521.47,2388.10,8125.49,8.4247,0.03,393,2388,100.00,38.82,23.3411
1,42,-0.0039,-0.0002,100.0,518.67,642.74,1586.43,1409.10,14.62,21.61,553.91,2388.09,9045.09,1.30,47.45,521.51,2388.14,8126.66,8.4788,0.03,393,2388,100.00,38.88,23.2196
1,43,0.0014,0.0001,100.0,518.67,642.82,1588.40,1405.06,14.62,21.61,553.01,2388.11,9050.32,1.30,47.55,521.31,2388.15,8125.56,8.4927,0.03,392,2388,100.00,38.73,23.2775
1,44,-0.0023,0.0003,100.0,518.67,642.77,1591.75,1411.05,14.62,21.61,553.62,2388.12,9049.84,1.30,47.65,520.96,2388.13,8132.18,8.4366,0.03,392,2388,100.00,38.79,23.3533
1,45,-0.0029,0.0000,100.0,518.67,642.48,1590.52,1406.20,14.62,21.61,553.85,2388.09,9045.99,1.30,47.50,521.65,2388.10,8128.22,8.4467,0.03,392,2388,100.00,38.95,23.2906
